85, 69, 0, 0, 71, 80, 86, 81, 64, 0, 86, 97, 68, 0, 0, 73,
85, 71, 0, 0, 70, 78, 0, 79, 64, 0, 88, 94, 0, 0, 0, 74,
84, 73, 0, 0, 68, 0, 78, 78, 65, 0, 91, 93, 70, 0, 0, 77,
81, 76, 0, 0, 67, 80, 0, 77, 66, 0, 0, 90, 71, 0, 0, 78,
83, 77, 0, 0, 70, 81, 76, 0, 66, 0, 89, 88, 72, 57, 0, 79,
82, 75, 0, 0, 71, 81, 74, 0, 68, 0, 91, 88, 73, 0, 0, 81,
81, 73, 0, 0, 70, 80, 75, 0, 70, 0, 92, 0, 72, 0, 0, 81,
80, 71, 63, 0, 70, 80, 0, 0, 70, 0, 94, 0, 69, 0, 0, 81,
0, 69, 62, 0, 0, 79, 76, 0, 71, 0, 97, 0, 70, 0, 0, 0,
78, 67, 0, 0, 72, 79, 75, 76, 70, 0, 99, 0, 69, 0, 0, 0,
77, 66, 0, 0, 73, 80, 0, 77, 68, 0, 101, 0, 68, 0, 0, 0,
74, 65, 0, 0, 75, 79, 75, 80, 66, 0, 102, 0, 66, 0, 0, 0,
73, 63, 0, 0, 78, 80, 74, 81, 0, 0, 103, 0, 65, 0, 0, 0,
71, 0, 0, 79, 76, 80, 0, 82, 65, 0, 106, 0, 64, 0, 0, 0,
69, 65, 0, 78, 75, 79, 0, 85, 63, 0, 107, 0, 64, 0, 0, 0,
69, 64, 0, 0, 73, 78, 0, 87, 63, 0, 109, 0, 66, 0, 0, 80,
0, 64, 0, 77, 70, 76, 76, 85, 63, 0, 111, 0, 64, 0, 0, 82,
0, 64, 0, 75, 73, 0, 0, 84, 62, 0, 113, 0, 0, 0, 0, 83,
0, 63, 0, 74, 71, 75, 0, 83, 63, 0, 114, 74, 63, 54, 0, 83,
0, 64, 0, 71, 70, 74, 0, 83, 63, 0, 0, 76, 63, 53, 0, 0,
0, 63, 0, 70, 72, 76, 0, 80, 65, 0, 114, 0, 64, 53, 0, 0,
0, 62, 0, 69, 73, 73, 0, 0, 67, 0, 114, 76, 65, 53, 0, 0,
0, 62, 0, 71, 76, 73, 0, 0, 67, 0, 111, 0, 65, 0, 0, 0,
0, 62, 0, 73, 75, 75, 0, 0, 67, 72, 108, 0, 0, 0, 0, 0,
0, 63, 0, 74, 0, 0, 0, 0, 68, 73, 110, 0, 0, 0, 0, 73,
0, 63, 0, 77, 74, 0, 0, 0, 70, 73, 111, 0, 0, 0, 0, 75,
0, 64, 0, 75, 71, 0, 0, 0, 71, 75, 113, 0, 0, 0, 0, 75,
0, 0, 0, 76, 68, 0, 69, 0, 0, 76, 114, 0, 0, 0, 0, 76,
0, 64, 0, 75, 67, 0, 69, 0, 71, 78, 0, 0, 0, 0, 0, 77,
0, 64, 0, 74, 68, 73, 0, 0, 69, 76, 0, 0, 0, 0, 0, 75,
0, 64, 0, 74, 69, 70, 0, 0, 69, 77, 114, 0, 0, 0, 0, 74,
0, 64, 0, 0, 71, 0, 0, 0, 69, 0, 114, 0, 0, 0, 0, 76,
0, 64, 0, 75, 74, 69, 0, 91, 0, 75, 114, 0, 0, 0, 0, 75,
0, 64, 0, 74, 75, 66, 0, 93, 0, 77, 111, 0, 0, 0, 0, 76,
0, 65, 0, 76, 75, 66, 0, 91, 62, 78, 111, 0, 0, 0, 0, 75,
75, 63, 0, 77, 72, 69, 0, 0, 63, 76, 0, 0, 79, 0, 0, 78,
77, 62, 0, 76, 69, 72, 0, 90, 61, 73, 0, 0, 79, 0, 0, 79,
0, 62, 0, 77, 68, 72, 0, 88, 61, 73, 0, 0, 0, 0, 0, 0,
0, 61, 0, 76, 66, 73, 0, 87, 61, 0, 0, 0, 0, 0, 0, 82,
0, 62, 0, 77, 63, 72, 0, 87, 65, 0, 0, 0, 0, 0, 0, 83,
0, 61, 0, 0, 0, 74, 59, 89, 61, 0, 0, 0, 0, 0, 0, 82,
0, 0, 0, 0, 62, 74, 59, 87, 59, 0, 0, 0, 0, 0, 61, 80,
0, 62, 0, 0, 61, 74, 0, 85, 59, 0, 0, 0, 0, 0, 60, 78,
0, 62, 0, 0, 64, 73, 0, 85, 59, 0, 0, 0, 77, 0, 60, 77,
0, 62, 0, 0, 62, 73, 0, 82, 0, 68, 105, 0, 0, 0, 59, 76,
0, 63, 0, 0, 62, 73, 0, 85, 0, 0, 0, 0, 76, 0, 60, 75,
0, 63, 0, 76, 62, 73, 0, 83, 0, 67, 97, 0, 74, 0, 60, 77,
0, 63, 0, 75, 63, 0, 0, 81, 0, 67, 96, 0, 73, 0, 60, 77,
0, 63, 0, 75, 0, 74, 0, 81, 0, 68, 93, 0, 74, 0, 60, 75,
0, 64, 0, 77, 0, 77, 0, 84, 0, 68, 0, 0, 76, 0, 0, 76,
0, 66, 0, 76, 0, 79, 0, 85, 63, 67, 94, 0, 78, 0, 0, 74,
0, 68, 0, 74, 0, 79, 0, 0, 0, 66, 93, 0, 78, 0, 62, 72,
0, 67, 0, 74, 0, 80, 74, 86, 60, 66, 0, 0, 0, 0, 0, 75,
0, 67, 0, 75, 0, 80, 75, 87, 60, 67, 96, 0, 0, 0, 0, 0,
83, 67, 0, 77, 0, 79, 0, 89, 61, 68, 94, 91, 0, 0, 0, 77,
81, 67, 0, 76, 0, 77, 0, 90, 61, 67, 0, 91, 0, 0, 0, 75,
80, 0, 0, 76, 0, 75, 0, 91, 64, 69, 0, 0, 0, 0, 60, 77,
80, 0, 74, 76, 82, 72, 0, 89, 63, 70, 0, 0, 88, 0, 59, 76,
0, 0, 0, 76, 82, 72, 0, 87, 66, 67, 113, 0, 87, 0, 59, 79,
0, 0, 0, 78, 0, 71, 0, 84, 69, 70, 0, 0, 0, 0, 59, 79,
0, 0, 0, 0, 0, 70, 0, 82, 72, 73, 0, 0, 88, 0, 59, 80,
0, 0, 0, 76, 0, 71, 0, 81, 71, 72, 115, 0, 90, 0, 0, 78,
0, 0, 0, 76, 0, 73, 0, 80, 71, 70, 113, 0, 87, 0, 0, 77,
0, 0, 0, 75, 0, 0, 0, 78, 71, 0, 0, 0, 86, 0, 0, 76,
0, 0, 0, 74, 75, 74, 0, 78, 71, 72, 0, 70, 83, 0, 0, 77,
0, 0, 0, 76, 73, 76, 0, 77, 70, 70, 0, 70, 82, 0, 61, 74,
0, 0, 0, 74, 73, 75, 0, 76, 69, 69, 0, 73, 79, 0, 0, 0,
0, 62, 0, 75, 73, 76, 0, 0, 0, 66, 0, 73, 76, 0, 61, 0,
81, 62, 0, 76, 73, 77, 0, 77, 67, 64, 0, 75, 75, 0, 63, 0,
81, 0, 0, 75, 71, 76, 0, 79, 67, 65, 0, 76, 0, 0, 62, 0,
