0.001 sec,,20.0 sec,,60.0 sec,
1707.001,73,8200.0,0,#SAKNAS,#SAKNAS
1711.015,74,8220.0,0,#SAKNAS,#SAKNAS
1715.025,75,8240.0,76,#SAKNAS,#SAKNAS
1719.002,76,8260.0,80,#SAKNAS,#SAKNAS
1719.524,0,8280.0,79,#SAKNAS,#SAKNAS
1723.016,74,8300.0,79,#SAKNAS,#SAKNAS
1727.026,77,8320.0,70,#SAKNAS,#SAKNAS
1731.037,78,8340.0,66,#SAKNAS,#SAKNAS
1735.014,77,8360.0,71,#SAKNAS,#SAKNAS
1739.025,76,8380.0,72,#SAKNAS,#SAKNAS
1742.998,73,8400.0,75,#SAKNAS,#SAKNAS
1750.014,73,8420.0,79,#SAKNAS,#SAKNAS
1751.034,72,8440.0,78,#SAKNAS,#SAKNAS
1755.002,69,8460.0,76,#SAKNAS,#SAKNAS
1759.014,72,8480.0,75,#SAKNAS,#SAKNAS
1763.026,74,8500.0,73,#SAKNAS,#SAKNAS
1767.002,72,8520.0,70,#SAKNAS,#SAKNAS
1771.012,72,8540.0,75,#SAKNAS,#SAKNAS
1775.025,74,8560.0,65,#SAKNAS,#SAKNAS
1779.002,76,8580.0,69,#SAKNAS,#SAKNAS
1779.528,0,8600.0,78,#SAKNAS,#SAKNAS
1783.013,77,8620.0,82,#SAKNAS,#SAKNAS
1787.028,79,8640.0,72,#SAKNAS,#SAKNAS
1791.001,80,8660.0,69,#SAKNAS,#SAKNAS
1795.013,78,8680.0,73,#SAKNAS,#SAKNAS
1799.024,81,8700.0,80,#SAKNAS,#SAKNAS
1803.001,80,8720.0,81,#SAKNAS,#SAKNAS
1807.015,79,8740.0,73,#SAKNAS,#SAKNAS
1811.027,76,8760.0,68,#SAKNAS,#SAKNAS
1815.002,76,8780.0,72,#SAKNAS,#SAKNAS
1819.014,75,8800.0,74,#SAKNAS,#SAKNAS
1823.024,74,8820.0,71,#SAKNAS,#SAKNAS
1827.002,72,8840.0,72,#SAKNAS,#SAKNAS
1831.014,70,8860.0,68,#SAKNAS,#SAKNAS
1835.027,73,8880.0,66,#SAKNAS,#SAKNAS
1839.009,73,8900.0,62,#SAKNAS,#SAKNAS
1839.525,0,8920.0,65,#SAKNAS,#SAKNAS
1843.014,70,8940.0,72,#SAKNAS,#SAKNAS
1847.027,71,8960.0,72,#SAKNAS,#SAKNAS
1851.002,73,8980.0,75,#SAKNAS,#SAKNAS
1855.016,76,9000.0,83,#SAKNAS,#SAKNAS
1859.032,76,9020.0,88,#SAKNAS,#SAKNAS
1863.005,74,9040.0,82,#SAKNAS,#SAKNAS
1867.021,76,9060.0,76,#SAKNAS,#SAKNAS
1871.026,76,9080.0,84,#SAKNAS,#SAKNAS
1875.001,78,9100.0,87,#SAKNAS,#SAKNAS
1879.016,76,9120.0,81,#SAKNAS,#SAKNAS
1883.027,79,9140.0,78,#SAKNAS,#SAKNAS
1887.002,80,9160.0,73,#SAKNAS,#SAKNAS
1891.014,78,9180.0,70,#SAKNAS,#SAKNAS
1895.026,80,9200.0,78,#SAKNAS,#SAKNAS
1899.003,82,9220.0,77,#SAKNAS,#SAKNAS
1899.524,0,9240.0,73,#SAKNAS,#SAKNAS
1906.014,82,9260.0,70,#SAKNAS,#SAKNAS
1907.034,80,9280.0,78,#SAKNAS,#SAKNAS
1911.002,78,9300.0,82,#SAKNAS,#SAKNAS
1915.014,77,9320.0,74,#SAKNAS,#SAKNAS
1919.029,76,9340.0,68,#SAKNAS,#SAKNAS
1923.002,77,9360.0,66,#SAKNAS,#SAKNAS
1927.013,78,9380.0,70,#SAKNAS,#SAKNAS
1931.025,79,9400.0,76,#SAKNAS,#SAKNAS
1935.001,78,9420.0,70,#SAKNAS,#SAKNAS
1939.014,76,9440.0,72,#SAKNAS,#SAKNAS
1943.025,78,9460.0,79,#SAKNAS,#SAKNAS
1950.002,78,9480.0,84,#SAKNAS,#SAKNAS
1951.014,79,9500.0,79,#SAKNAS,#SAKNAS
1955.027,80,9520.0,74,#SAKNAS,#SAKNAS
1959.002,79,9540.0,77,#SAKNAS,#SAKNAS
1959.525,0,9560.0,86,#SAKNAS,#SAKNAS
1963.014,77,9580.0,84,#SAKNAS,#SAKNAS
1967.025,74,9600.0,74,#SAKNAS,#SAKNAS
1971.0,74,9620.0,80,#SAKNAS,#SAKNAS
1975.015,76,9640.0,85,#SAKNAS,#SAKNAS
1979.025,75,9660.0,76,#SAKNAS,#SAKNAS
1983.007,76,9680.0,70,#SAKNAS,#SAKNAS
1987.021,74,9700.0,71,#SAKNAS,#SAKNAS
1991.027,71,9720.0,69,#SAKNAS,#SAKNAS
1995.001,69,9740.0,73,#SAKNAS,#SAKNAS
1999.015,67,9760.0,80,#SAKNAS,#SAKNAS
2003.027,66,9780.0,78,#SAKNAS,#SAKNAS
2007.002,65,9800.0,72,#SAKNAS,#SAKNAS
2011.015,67,9820.0,71,#SAKNAS,#SAKNAS
2015.027,68,9840.0,73,#SAKNAS,#SAKNAS
2019.002,70,9860.0,83,#SAKNAS,#SAKNAS
2019.529,0,9880.0,90,#SAKNAS,#SAKNAS
2023.015,72,9900.0,81,#SAKNAS,#SAKNAS
2027.026,72,9920.0,72,#SAKNAS,#SAKNAS
2031.002,70,9940.0,74,#SAKNAS,#SAKNAS
2035.015,69,9960.0,77,#SAKNAS,#SAKNAS
2039.026,69,9980.0,80,#SAKNAS,#SAKNAS
2046.001,69,10000.0,72,#SAKNAS,#SAKNAS
