<1h,1-3h,3-6h,>6h
32.68,11.55,4.7,11.49
14.4,4.19,45.89,2.88
10.98,88.58,41.72,7.12
4.98,57.49,44.6,15.78
5.63,15.01,59.69,1.39
6.28,6.6,41.58,5.33
2.01,22.43,102.53,13.27
1.56,13.79,15.29,0.83
6.07,5.11,26.71,5.1
1.43,14.86,101.42,3.61
43.29,18.99,5.59,4.26
3.06,16.58,43.65,18.14
2.11,14.35,20.0,18.89
15.3,13.02,31.42,2.05
3.91,85.82,32.06,4.31
5.84,14.32,58.05,2.85
7.98,6.57,14.8,5.99
0.4,107.52,2.92,2.89
3.84,7.78,54.12,8.3
0.87,29.18,29.18,0.08
2.59,5.4,11.33,8.54
7.58,37.29,5.93,0.92
1.39,17.56,11.15,11.31
5.32,7.83,146.78,5.7
10.72,34.0,33.15,8.29
10.96,26.49,12.79,2.61
3.49,19.42,2.95,4.99
13.52,1.24,5.83,3.91
22.76,22.48,43.88,2.67
4.97,5.15,18.69,1.89
7.03,8.62,24.92,1.73
1.88,52.33,3.8,5.9
13.89,17.91,72.32,0.71
44.12,12.09,20.31,7.69
15.67,23.05,69.72,2.31
19.37,7.05,10.22,11.93
14.43,10.03,21.62,2.86
10.33,0.96,2.8,10.12
4.4,74.48,12.55,3.79
15.29,2.96,9.03,20.15
9.26,43.05,94.68,18.32
2.96,47.1,45.79,9.18
0.36,21.05,7.22,1.57
2.57,21.06,38.83,4.94
6.57,25.53,36.68,4.98
6.72,39.98,17.14,7.42
5.37,13.84,11.61,7.04
1.64,6.72,9.73,5.45
17.17,10.73,74.35,2.91
2.97,43.13,12.3,6.67
21.52,7.22,72.96,4.55
2.23,24.36,116.07,1.3
6.21,86.85,31.82,10.13
6.3,40.59,23.11,5.85
46.52,9.11,37.1,10.86
5.82,12.82,76.91,0.78
4.51,16.33,74.02,1.79
10.73,94.65,34.55,4.39
21.45,16.08,10.67,1.67
10.28,15.67,45.86,1.61
3.4,10.74,21.12,7.35
7.79,26.17,20.2,13.0
5.36,16.02,44.01,1.51
22.78,39.67,19.65,22.06
12.59,14.28,44.0,17.05
1.78,0.94,117.4,3.25
2.23,27.23,92.89,9.47
1.64,18.25,3.61,11.66
2.71,8.35,45.72,2.05
7.3,40.52,80.74,11.87
12.28,34.81,61.82,1.07
11.21,3.76,22.77,8.76
6.02,53.52,85.25,11.4
7.3,16.08,15.13,
24.67,25.42,68.5,
