<1h,1-3h,3-6h,>6h
10.8,3.07,10.82,442.07
8.03,8.36,22.07,51.17
2.47,9.92,20.96,66.06
0.01,4.91,17.52,31.23
0.58,5.16,18.79,45.4
5.67,3.5,4.14,76.11
0.25,12.96,9.37,441.5
6.93,6.73,18.45,240.96
0.01,10.93,26.42,14.42
0.01,8.49,7.51,69.08
0.01,4.25,3.11,62.04
5.29,2.46,16.1,287.31
0.14,4.39,23.35,2.06
4.06,20.1,7.67,507.31
0.01,2.42,11.95,147.19
1.73,14.76,6.17,471.89
1.05,10.57,4.66,9.47
0.01,8.3,4.27,48.24
0.01,28.53,2.37,5.21
3.32,1.16,14.1,17.32
0.01,3.88,31.01,1.18
18.61,2.41,8.83,10.6
10.25,2.28,10.07,57.63
2.52,1.19,8.39,5.86
2.44,2.82,11.07,73.09
0.01,1.0,6.22,59.85
0.01,1.58,13.03,21.37
1.99,7.11,1.87,117.08
0.01,6.67,0.89,74.88
0.01,15.3,0.74,8.09
0.01,0.04,18.33,18.47
0.01,30.81,1.94,28.18
0.01,23.12,4.67,21.2
0.01,18.83,12.18,527.66
0.01,5.02,3.71,202.52
0.68,5.59,23.78,5.28
0.01,9.41,4.73,67.22
0.01,13.51,15.37,125.65
0.01,0.72,2.73,12.42
3.32,5.66,7.0,3.48
7.13,0.41,9.98,11.19
0.23,3.3,11.4,6.59
0.46,8.76,3.47,138.95
0.48,4.42,6.55,10.04
2.23,4.74,14.65,45.4
2.78,2.46,7.82,33.76
3.09,11.24,7.59,31.97
7.57,10.03,6.05,18.19
2.6,8.5,12.95,32.82
3.47,3.48,6.56,2.29
0.11,1.44,9.74,379.33
0.06,16.59,0.9,1.11
0.01,10.53,1.55,11.1
0.01,17.61,2.5,426.09
0.01,8.01,9.75,2.26
0.65,7.83,5.28,2.29
0.01,11.92,10.26,114.38
3.11,23.34,5.04,7.35
0.01,15.77,7.59,32.11
0.01,6.42,10.76,6.07
0.01,24.49,2.96,18.88
10.91,16.42,8.7,9.69
0.01,1.05,0.59,59.73
3.94,1.06,10.95,262.96
0.01,10.94,19.57,527.44
0.01,11.47,1.39,25.02
2.55,9.74,10.16,8.2
0.01,1.53,1.48,5.06
0.01,12.98,10.13,85.42
2.65,0.56,11.07,18.6
0.01,9.23,3.32,24.99
9.81,4.04,0.53,74.76
0.01,3.4,7.59,17.39
0.01,6.43,1.32,192.07
0.01,1.63,11.17,315.07
4.71,2.4,5.56,101.0
7.77,0.37,6.24,46.94
1.23,12.01,4.45,97.23
0.01,2.08,14.41,53.0
0.01,9.86,7.28,9.08
0.01,3.85,8.52,3.23
0.01,12.02,1.9,0.68
3.91,6.77,5.82,28.09
5.31,13.4,1.95,527.2
5.24,7.85,1.21,3.67
6.07,0.69,4.46,48.53
0.01,11.51,5.03,17.11
0.01,30.06,10.96,22.7
0.01,0.77,12.52,18.67
1.21,23.11,12.04,0.74
0.93,6.73,5.61,6.46
8.98,3.75,11.99,67.98
0.01,8.6,13.69,0.65
4.82,36.88,7.09,15.32
5.46,31.26,4.53,16.81
3.41,24.64,7.13,505.35
3.32,39.05,11.92,16.55
4.78,13.05,10.19,1.13
4.78,9.21,10.84,15.2
1.07,8.55,4.58,423.73
0.01,0.31,1.13,10.57
0.01,2.13,4.44,314.97
0.01,7.29,3.77,65.26
4.11,28.95,9.83,62.57
0.01,3.4,10.72,0.14
8.32,50.27,9.03,36.64
3.35,10.56,30.7,63.4
13.06,4.77,1.52,254.06
0.82,20.39,4.07,527.06
0.88,20.31,9.83,13.55
1.53,13.91,5.36,11.33
1.8,16.0,2.19,504.22
1.66,9.37,3.88,8.11
0.49,5.63,2.29,69.68
0.01,18.02,0.79,503.74
5.02,21.23,8.64,526.84
7.45,6.3,9.94,62.93
0.01,0.84,6.44,64.37
0.01,7.02,16.07,16.33
0.01,4.33,5.59,56.12
0.28,11.06,28.02,13.19
0.01,9.45,4.31,7.73
0.34,26.8,27.2,14.22
5.69,10.46,24.95,27.82
2.1,10.47,16.69,38.94
1.51,1.5,7.74,3.49
0.46,1.7,0.04,26.58
0.05,3.72,17.56,4.3
0.02,30.69,11.97,10.63
0.02,1.5,1.21,526.84
0.02,2.18,3.26,314.42
2.93,0.34,6.71,23.22
0.02,14.6,0.1,248.65
0.8,9.07,4.25,418.73
0.22,5.01,10.23,305.86
0.02,9.34,1.32,3.51
3.93,8.62,4.17,8.23
3.18,23.52,8.56,12.56
1.04,17.17,1.05,355.64
8.39,3.33,17.64,288.3
3.99,9.35,3.46,56.84
0.02,11.23,7.36,345.25
4.22,4.45,3.56,61.48
0.02,1.74,19.49,31.53
3.43,6.49,16.97,103.13
3.77,3.32,7.38,33.82
0.02,3.12,25.21,121.68
3.15,7.74,9.9,96.91
0.1,3.97,13.35,123.3
0.36,6.11,2.74,33.44
0.89,2.44,18.74,525.63
0.19,3.07,20.38,55.89
0.02,2.64,6.19,16.43
0.26,6.0,1.52,3.22
1.26,0.28,5.6,10.75
0.7,17.64,9.37,0.08
7.15,12.25,1.71,350.32
0.02,2.49,2.5,406.94
0.02,23.49,5.23,211.15
12.74,15.96,0.56,32.84
0.02,16.03,5.65,340.97
1.1,2.59,6.32,102.38
0.18,3.7,10.64,15.57
0.57,11.7,16.03,84.56
0.58,10.34,6.78,14.54
0.9,9.37,19.1,123.59
2.24,2.73,28.99,27.26
2.29,4.45,25.96,48.74
0.8,4.72,14.22,66.49
0.66,29.01,3.05,16.86
0.02,14.87,28.18,334.63
0.02,9.74,4.34,4.38
3.57,32.15,4.33,264.15
0.02,18.36,9.75,3.35
1.8,3.83,0.6,188.46
1.82,2.38,4.16,56.36
2.19,8.42,19.1,496.55
2.59,2.56,14.14,179.71
2.9,7.58,18.44,14.73
8.91,2.07,3.04,118.4
27.48,11.97,4.68,33.77
4.39,1.96,11.51,9.44
0.02,26.64,4.53,386.59
0.02,0.65,2.35,95.03
9.43,5.39,1.46,524.45
3.32,15.09,1.0,311.66
6.81,3.05,17.79,524.07
6.29,7.9,21.73,3.01
4.21,4.83,7.16,63.95
0.02,10.81,2.71,139.35
4.12,6.82,11.2,38.66
0.02,0.63,14.56,27.74
3.26,0.32,3.66,18.41
6.7,3.0,2.1,27.42
0.02,3.73,3.28,294.13
0.02,0.31,20.15,31.99
1.76,0.39,14.36,8.56
3.32,4.94,3.19,181.26
2.97,8.18,13.81,27.87
0.02,1.73,6.78,70.56
5.31,16.85,14.75,17.29
0.02,2.4,1.19,23.36
1.61,3.73,1.98,372.24
0.52,3.58,27.33,74.92
0.16,2.04,8.31,142.79
0.75,0.81,9.83,106.88
6.15,0.73,1.59,69.83
5.54,5.0,26.17,26.82
0.02,9.99,25.58,76.3
2.52,0.82,15.59,1.63
2.97,3.04,30.55,380.37
2.16,10.9,9.46,381.26
0.02,3.84,13.64,71.28
0.02,39.04,22.44,44.8
0.97,30.49,17.66,29.29
0.02,18.25,15.72,13.65
0.02,1.2,44.54,56.33
6.23,20.25,44.5,173.7
3.55,20.43,5.61,31.05
0.23,13.84,38.29,170.3
1.36,10.82,26.65,47.32
0.89,9.06,25.61,17.13
1.38,6.91,8.9,61.89
3.24,4.47,25.09,233.37
1.42,3.36,41.63,0.17
22.61,5.33,19.58,8.63
1.9,11.45,15.85,75.14
1.79,8.1,51.63,14.95
1.6,4.77,8.69,30.59
1.31,9.9,20.58,0.18
10.35,0.16,22.43,229.0
0.02,21.93,3.9,7.45
0.47,11.11,4.85,3.44
8.43,8.5,14.69,69.89
0.02,11.34,6.17,224.47
0.02,10.11,25.04,4.05
0.02,20.11,17.15,10.79
1.56,8.37,6.07,3.29
0.02,0.29,1.51,10.41
0.02,12.16,0.08,9.33
0.02,6.83,6.28,68.67
1.44,5.95,2.66,32.11
0.02,3.96,7.36,1.36
0.02,3.64,12.77,523.49
0.02,0.93,0.98,3.44
0.02,1.75,0.42,3.7
0.02,1.45,1.01,293.48
1.66,13.22,7.07,73.24
1.88,6.24,3.16,15.32
0.18,6.1,3.45,31.01
0.83,13.2,5.77,45.53
0.3,0.9,0.96,8.79
2.95,10.66,2.42,434.59
0.05,10.44,2.55,75.07
1.31,7.07,8.02,63.04
0.22,2.22,5.73,6.12
0.24,13.45,3.92,12.63
5.14,13.08,2.02,1.86
3.62,14.62,9.78,56.79
0.78,19.47,7.91,2.7
0.42,0.71,13.3,79.48
6.94,5.02,10.25,21.23
