<1h,1-3h,3-6h,>6h
0.29, 23.78, 220.62, 76.58
0.74, 7.37, 19.25, 22.36
1.01, 10.5, 31.06, 30.3
12.76, 5.6, 0.07, 22.53
4.46, 40.39, 23.64, 22.89
2.92, 80.62, 11.79, 23.47
2.97, 0.07, 38.01, 396.44
1.72, 20.19, 8.36, 44.72
0.03, 17.72, 53.64, 12.79
7.91, 18.78, 2.89, 13.11
0.52, 19.79, 34.73, 70.82
2.94, 1.73, 15.51, 56.55
9.92, 10.2, 3.82, 13.68
6.6, 8.95, 16.05, 12.1
9.55, 11.35, 53.8, 113.19
0.04, 14.73, 2.19, 135.46
4.62, 5.56, 2.97, 31.85
8.0, 19.73, 3.39, 31.95
8.3, 7.47, 23.28, 530.2
5.69, 0.78, 8.11, 4.69
13.08, 5.68, 19.74, 15.59
5.9, 12.68, 19.64, 247.08
0.02, 21.28, 42.63, 9.1
9.1, 27.56, 7.12
0.03, 15.19, 37.66
2.0, 0.47, 9.65
2.14, 21.58, 50.41
0.3, 8.28, 15.41
15.96, 5.62, 164.87
0.66, 30.47, 22.9
11.47, 3.33, 0.7
2.77, 13.13, 23.64
2.41, 1.56, 62.77
4.87, 18.44, 58.77
10.8, 24.87, 38.97
4.25, 4.07, 7.04
1.5, 16.5, 32.64
4.34, 9.1, 11.69
2.64, 4.56, 13.1
0.0, 21.54, 12.42
0.56, 4.44, 16.54
35.49, 11.64, 82.03
0.3, 16.19, 9.07
2.0, 4.4, 9.93
0.0, 28.0, 26.27
0.32, 22.58, 25.34
12.34, 7.56, 1.21
0.73, 24.07, 9.25
0.32, 19.44, 10.88
4.5, 5.12, 28.72
1.49, 9.54, 22.63
0.53, 18.26, 3.25
1.79, 3.84, 9.13
1.48, 13.86, 101.48
21.31, 3.99, 14.77
21.25, 2.91, 27.38
5.38, 5.63, 54.11
18.61, 11.11, 13.49
9.74, 5.98, 34.3
2.76, 16.42, 47.05
13.09, 15.57, 22.48
9.3, 2.08, 105.72
18.6, 16.92, 0.77
5.07, 31.96, 43.68
4.23, 22.19, 84.83
20.5, 16.82, 67.7
4.73, 22.12, 34.87
7.43, 12.66, 3.2
11.05, 9.31, 48.09
4.52, 1.27, 56.23
10.21, 11.88, 6.59
4.94, 48.22, 3.2
11.06, 15.63, 20.48
5.73, 17.56, 14.79
3.23, 2.45, 31.41
5.63, 6.21, 35.63
7.34, 2.56, 25.03
10.17, 26.67, 31.22
3.1, 37.77, 69.2
23.48, 21.24, 31.15
2.14, 3.75, 15.2
4.19, 25.72, 21.45
11.4, 29.85, 9.49
25.85, 10.04, 55.84
2.96, 24.86, 11.4
24.38, 2.51, 2.95
10.32, 0.59, 15.22
4.16, 5.36, 23.62
3.34, 13.08, 4.93
20.94, 3.72, 27.0
3.73, 8.98, 34.46
5.89, 1.91, 14.8
0.38, 27.77, 307.93
1.61, 14.66, 56.94
9.85, 6.6, 2.48
25.03, 25.27, 49.01
2.93, 19.7, 15.46
4.78, 28.45, 19.61
3.21, 1.27, 105.37
6.57, 8.48, 38.28
6.05, 23.75, 14.54
4.41, 13.7, 157.99
4.32, 21.09, 25.46
4.1, 21.18, 107.87
12.69, 19.52, 57.86
4.98, 23.58, 95.18
8.41, 6.84, 130.22
13.57, 18.01, 29.12
1.08, 20.35, 47.77
9.62, 11.67, 18.69
0.45, 15.83, 9.5
16.99, 11.89, 10.25
3.14, 8.23, 44.52
7.1, 8.48, 28.98
4.13, 0.72, 146.13
3.67, 8.01, 22.3
2.99, 3.11, 31.79
3.55, 20.7, 39.58
2.9, 2.0, 30.41
13.69, 11.59, 11.98
4.94, 32.71, 13.15
2.57, 0.54, 73.19
8.42, 8.71, 28.71
1.47, 8.51, 0.52
5.62, 0.98, 7.84
5.86, 32.17, 176.87
20.95, 37.42, 46.69
10.48, 27.16, 20.17
11.33, 8.81, 91.07
0.94, 10.67, 38.43
0.64, 18.82, 73.5
4.46, 14.14, 18.46
2.64, 38.38, 22.73
4.36, 9.89, 20.53
13.82, 3.5, 9.48
27.98, 7.68, 9.75
7.67, 2.4, 55.52
6.93, 4.07, 12.54
5.86, 4.89, 42.24
4.84, 24.09, 8.82
0.71, 23.99, 21.78
0.59, 4.3, 5.88
36.78, 59.75, 78.69
1.64, 28.38, 28.44
2.93, 47.11, 13.42
10.7, 4.61, 77.19
11.06, 24.66, 7.83
0.51, 30.51, 16.56
8.98, 69.67, 33.96
12.85, 57.15, 31.07
8.77, 6.96, 29.46
15.06, 12.34, 36.6
14.49, 31.17, 3.96
6.47, 24.59, 85.38
38.52, 1.57, 8.24
21.23, 28.29, 16.0
20.78, 2.87, 13.96
9.38, 12.01, 24.62
0.03, 32.28, 2.95
0.03, 4.95, 26.25
0.15, 17.51, 27.34
0.0, 9.9, 7.9
52.5, 30.07, 16.74
1.77, 10.31, 51.94
1.84, 8.05, 20.8
3.85, 1.75, 108.91
2.0, 1.43, 3.07
4.4, 4.63, 22.68
4.93, 15.05, 150.43
17.43, 16.49, 16.14
4.88, 1.06, 16.09
5.93, 22.87, 12.84
14.53, 38.66, 9.46
11.38, 10.55
7.07, 17.91
7.59, 5.76
21.86, 21.9
6.24, 11.1
7.05, 158.7
6.21, 21.84
2.64, 22.98
7.48, 2.84
4.95, 11.35
5.22, 0.59
4.42, 40.92
2.57, 63.32
17.57, 0.1
5.42, 1.94
0.03, 9.54
1.31, 6.14
0.0, 12.02
0.06, 7.31
0.0, 197.4
2.52, 19.77
0.59, 17.67
17.98, 6.76
11.24, 92.72
0.68, 16.21
5.65, 169.48
1.44, 170.22
4.14, 11.83
0.8, 27.51
1.71, 23.66
1.65, 19.23
0.94, 31.87
2.85, 40.36
2.99, 27.46
1.41, 6.99
4.56, 1.33
0.18, 2.64
16.4, 6.28
12.51, 0.95
13.98, 1.36
0.49, 41.87
3.74, 3.98
0.86, 4.33
29.63, 22.29
10.42, 158.31
9.02, 11.14
11.1, 7.04
4.98, 8.2
3.88, 14.08
2.26, 101.29
1.37, 63.4
8.51, 16.46
7.84, 21.06
10.05, 13.35
0.42, 11.49
1.92, 10.77
4.81, 28.51
2.67, 24.21
2.81, 11.42
2.74, 147.04
1.33, 23.35
15.1, 5.5
0.45, 12.69
0.78, 18.51
1.99, 24.76
2.07, 88.99
18.11, 17.92
20.44, 50.27
3.16, 13.34
2.34, 31.8
1.16, 4.5
25.46, 25.08
0.73, 3.93
1.14, 29.62
1.15, 4.31
14.05, 16.04
19.89, 12.88
9.84, 4.7
14.43, 18.39
11.72, 5.29
7.73, 10.17
22.5, 9.08
11.51, 20.66
1.55, 19.72
9.22, 12.64
9.97, 224.55
3.8, 7.15
3.7, 78.22
5.76, 31.22
8.12, 37.57
3.63, 35.59
9.12, 43.36
17.13, 17.79
4.14, 12.25
14.23, 3.89
0.0, 3.75
19.71, 9.48
9.38, 13.64
5.13, 3.17
4.67, 3.59
0.0, 2.92
22.91, 4.78
19.11, 9.34
8.0, 9.86
1.21, 29.9
2.51, 23.47
1.43, 3.76
0.54, 8.59
12.61, 6.9
4.37, 7.14
11.97, 38.73
16.26, 0.86
12.18, 27.38
4.45, 14.96
6.51, 20.67
0.56, 0.57
0.0, 24.43
2.05, 19.64
0.71, 0.54
0.09, 43.23
2.93, 72.51
23.89, 25.19
2.62, 3.69
24.59, 88.04
12.11, 24.92
4.85, 7.76
12.45, 7.6
3.65, 4.95
7.74, 6.04
0.23, 28.17
3.24, 12.28
17.8, 30.77
0.0, 8.75
12.14, 142.52
18.98, 13.8
2.68, 48.81
6.94, 32.0
2.66, 53.38
20.27, 11.03
2.38, 42.43
1.21, 5.27
8.35, 12.8
1.85, 24.0
0.92, 2.68
37.57, 15.77
1.24, 19.6
2.18, 13.82
1.7, 25.56
6.44, 19.99
0.08, 7.59
20.94, 66.82
4.42, 31.61
1.12, 32.85
5.54, 13.6
8.66, 184.87
4.73, 67.68
6.19, 20.89
2.14, 27.07
2.31, 26.84
15.84, 64.52
0.98, 66.05
1.48, 16.8
1.42, 13.34
2.15, 42.92
